datetime,open,high,low,close,volume
2025-08-15 04:00:00,3390.39990234375,3390.89990234375,3389.60009765625,3389.699951171875,0
2025-08-15 04:05:00,3390.89990234375,3391.60009765625,3390.10009765625,3390.300048828125,491
2025-08-15 04:10:00,3391.39990234375,3391.800048828125,3390.60009765625,3390.699951171875,397
2025-08-15 04:15:00,3391.300048828125,3391.699951171875,3391.10009765625,3391.60009765625,220
2025-08-15 04:20:00,3391.5,3391.89990234375,3391.199951171875,3391.199951171875,249
2025-08-15 04:25:00,3391.800048828125,3392.300048828125,3391.0,3391.5,465
2025-08-15 04:30:00,3391.5,3392.800048828125,3391.300048828125,3391.699951171875,402
2025-08-15 04:35:00,3390.300048828125,3391.60009765625,3389.89990234375,3391.39990234375,245
2025-08-15 04:40:00,3391.0,3391.0,3389.300048828125,3390.199951171875,410
2025-08-15 04:45:00,3391.0,3391.199951171875,3390.5,3391.10009765625,225
2025-08-15 04:50:00,3390.0,3391.0,3389.60009765625,3391.0,252
2025-08-15 04:55:00,3391.0,3391.10009765625,3389.60009765625,3389.800048828125,255
2025-08-15 05:00:00,3393.89990234375,3394.0,3390.699951171875,3390.89990234375,527
2025-08-15 05:05:00,3392.60009765625,3394.800048828125,3391.89990234375,3393.89990234375,605
2025-08-15 05:10:00,3391.800048828125,3393.0,3391.60009765625,3392.5,211
2025-08-15 05:15:00,3390.39990234375,3391.800048828125,3389.699951171875,3391.800048828125,437
2025-08-15 05:20:00,3389.89990234375,3390.5,3389.0,3390.39990234375,435
2025-08-15 05:25:00,3389.39990234375,3390.5,3389.300048828125,3389.89990234375,128
2025-08-15 05:30:00,3389.5,3390.39990234375,3388.0,3389.39990234375,458
2025-08-15 05:35:00,3390.800048828125,3391.300048828125,3389.60009765625,3389.699951171875,190
2025-08-15 05:40:00,3393.0,3393.199951171875,3390.800048828125,3390.89990234375,233
2025-08-15 05:45:00,3391.10009765625,3393.5,3391.0,3393.0,308
2025-08-15 05:50:00,3390.89990234375,3391.300048828125,3390.0,3391.0,179
2025-08-15 05:55:00,3389.89990234375,3391.10009765625,3389.39990234375,3391.10009765625,237
2025-08-15 06:00:00,3389.199951171875,3390.199951171875,3388.300048828125,3390.10009765625,251
2025-08-15 06:05:00,3388.10009765625,3389.199951171875,3387.699951171875,3389.0,353
2025-08-15 06:10:00,3388.39990234375,3388.89990234375,3387.60009765625,3388.10009765625,200
2025-08-15 06:15:00,3389.300048828125,3390.0,3387.199951171875,3388.199951171875,364
2025-08-15 06:20:00,3387.89990234375,3390.10009765625,3387.300048828125,3389.10009765625,375
2025-08-15 06:25:00,3387.300048828125,3389.199951171875,3386.89990234375,3387.699951171875,241
2025-08-15 06:30:00,3387.89990234375,3388.5,3386.800048828125,3387.60009765625,234
2025-08-15 06:35:00,3389.0,3389.39990234375,3387.60009765625,3387.800048828125,400
2025-08-15 06:40:00,3387.60009765625,3389.89990234375,3387.300048828125,3388.89990234375,198
2025-08-15 06:45:00,3388.89990234375,3389.39990234375,3387.199951171875,3387.199951171875,173
2025-08-15 06:50:00,3387.800048828125,3389.10009765625,3387.39990234375,3389.10009765625,204
2025-08-15 06:55:00,3386.199951171875,3387.699951171875,3386.0,3387.699951171875,375
2025-08-15 07:00:00,3387.699951171875,3388.10009765625,3386.199951171875,3386.300048828125,390
2025-08-15 07:05:00,3387.0,3388.800048828125,3385.89990234375,3387.89990234375,416
2025-08-15 07:10:00,3387.800048828125,3387.89990234375,3386.5,3387.0,224
2025-08-15 07:15:00,3390.0,3390.0,3387.5,3387.800048828125,354
2025-08-15 07:20:00,3391.199951171875,3391.39990234375,3390.0,3390.0,531
2025-08-15 07:25:00,3390.699951171875,3391.800048828125,3390.199951171875,3391.199951171875,460
2025-08-15 07:30:00,3390.10009765625,3390.699951171875,3390.10009765625,3390.60009765625,32
2025-08-15 07:40:00,3389.39990234375,3390.0,3386.0,3386.60009765625,1654
2025-08-15 07:45:00,3389.89990234375,3390.89990234375,3388.5,3389.300048828125,465
2025-08-15 07:50:00,3391.199951171875,3391.60009765625,3389.60009765625,3389.800048828125,317
2025-08-15 07:55:00,3392.5,3392.800048828125,3391.199951171875,3391.300048828125,388
2025-08-15 08:00:00,3392.60009765625,3394.60009765625,3392.10009765625,3392.39990234375,1170
