timestamp,open,high,low,close,volume
1689206400000,0.83,0.8547,0.8082,0.8143,720874.210589
1689292800000,0.8231,0.8246,0.6678,0.7189,3958249.94036
1689379200000,0.7173,0.7358,0.693,0.7139,1994132.814443
1689465600000,0.7124,0.7886,0.7036,0.7464,1486737.522122
1689552000000,0.7465,0.7654,0.7131,0.7383,516682.682416
1689638400000,0.7353,0.7836,0.7314,0.7795,703794.818934
1689724800000,0.7775,0.8528,0.7703,0.8203,1554990.280341
1689811200000,0.821,0.8491,0.7723,0.7937,1852588.831892
1689897600000,0.7893,0.7986,0.761,0.7714,417235.677376
1689984000000,0.7697,0.7801,0.722,0.7327,874868.683205
1690070400000,0.733,0.7514,0.715,0.7374,759037.169709
1690156800000,0.7376,0.7405,0.6825,0.7014,1453207.195204
1690243200000,0.7017,0.7151,0.6752,0.7089,414503.590014
1690329600000,0.7073,0.731,0.6931,0.7148,616110.233758
1690416000000,0.7165,0.7321,0.7073,0.7138,271256.321032
1690502400000,0.713,0.719,0.7024,0.7118,205889.592286
1690588800000,0.7117,0.7146,0.7046,0.7126,139078.09588
1690675200000,0.7125,0.7358,0.683,0.7058,268433.760926
1690761600000,0.7035,0.73,0.6859,0.6993,837214.107638
1690848000000,0.6977,0.708,0.6732,0.708,451689.081385
1690934400000,0.7072,0.7072,0.6763,0.6849,269785.836414
1691020800000,0.6857,0.6857,0.6549,0.666,928143.996042
1691107200000,0.662,0.667,0.6277,0.6367,290890.425285
1691193600000,0.6355,0.636,0.6114,0.629,387618.068033
1691280000000,0.6325,0.6383,0.6212,0.6246,149783.134145
1691366400000,0.6238,0.6294,0.5981,0.6236,643740.639602
1691452800000,0.6227,0.6485,0.6145,0.6427,1132575.194247
1691539200000,0.6424,0.6656,0.6315,0.6444,728321.124793
1691625600000,0.6431,0.6431,0.625,0.6334,377976.284529
1691712000000,0.6329,0.6409,0.626,0.6331,140072.849437
1691798400000,0.6303,0.6313,0.6224,0.6284,61174.526042
1691884800000,0.6281,0.6383,0.624,0.6274,354693.618592
1691971200000,0.6253,0.6363,0.6246,0.635,288235.018426
1692057600000,0.6345,0.6345,0.585,0.6104,1086148.270034
1692144000000,0.609,0.6163,0.5736,0.5894,425379.837529
1692230400000,0.5883,0.5946,0.439,0.5067,2743912.464762
1692316800000,0.5071,0.522,0.484,0.506,1273196.212739
1692403200000,0.506,0.524,0.501,0.5196,400813.495321
1692489600000,0.5194,0.5573,0.517,0.539,915626.428209
1692576000000,0.5387,0.5387,0.5037,0.5243,854724.197531
1692662400000,0.5253,0.5253,0.5039,0.5205,449528.167302
1692748800000,0.521,0.536,0.5163,0.53,500241.620568
1692835200000,0.5279,0.531,0.5113,0.519,3648890.018899
1692921600000,0.5182,0.5316,0.5079,0.5252,842801.96571
1693008000000,0.524,0.528,0.5186,0.5228,61251.612144
1693094400000,0.5232,0.53,0.518,0.524,111621.649084
1693180800000,0.5223,0.524,0.5109,0.5234,248214.231044
1693267200000,0.5212,0.5485,0.5132,0.5389,918567.859712
1693353600000,0.5399,0.5399,0.5218,0.5281,377419.499026
1693440000000,0.5276,0.5285,0.497,0.5103,379383.052436
1693526400000,0.5115,0.5118,0.487,0.4972,734736.528743
1693612800000,0.4978,0.5026,0.495,0.4988,93340.746037
1693699200000,0.498,0.51,0.4978,0.5052,91470.068486
1693785600000,0.5059,0.5124,0.497,0.5087,350504.166117
1693872000000,0.5072,0.5073,0.4996,0.506,209743.991876
1693958400000,0.505,0.5056,0.4919,0.5034,399311.935377
1694044800000,0.5017,0.5061,0.497,0.5051,315936.376389
1694131200000,0.5044,0.507,0.4947,0.5052,293389.665395
1694217600000,0.5036,0.5043,0.5019,0.5035,88336.937712
1694304000000,0.5034,0.5034,0.4929,0.498,106850.521172
1694390400000,0.4981,0.4982,0.4587,0.475,880006.203911
1694476800000,0.4739,0.4864,0.4704,0.4813,441597.740193
1694563200000,0.48,0.489,0.473,0.483,547611.62695
1694649600000,0.4825,0.4936,0.4802,0.4889,385392.62116
1694736000000,0.4899,0.5083,0.4879,0.5014,1077495.787698
1694822400000,0.5,0.503,0.4976,0.4989,229111.544721
1694908800000,0.4997,0.5,0.4897,0.4917,1011049.646809
1694995200000,0.4925,0.507,0.487,0.5033,445550.483753
1695081600000,0.502,0.5161,0.501,0.5144,919231.609964
1695168000000,0.5143,0.525,0.507,0.5217,679423.399739
1695254400000,0.5196,0.5199,0.501,0.5083,481779.897893
1695340800000,0.5073,0.5165,0.504,0.5119,347226.919231
1695427200000,0.5128,0.5134,0.5058,0.5079,42716.965912
1695513600000,0.5074,0.5112,0.499,0.502,57853.611958
1695600000000,0.5014,0.507,0.4918,0.5053,736471.161421
1695686400000,0.5048,0.507,0.4968,0.502,447727.31784
1695772800000,0.5016,0.507,0.4971,0.5,854107.187432
1695859200000,0.499,0.5099,0.4955,0.5099,626547.511692
1695945600000,0.5095,0.549,0.5066,0.521,1096033.893452
1696032000000,0.5211,0.5211,0.5138,0.5149,443560.144188
1696118400000,0.5157,0.5259,0.5147,0.5244,183407.872854
1696204800000,0.5238,0.526,0.507,0.5121,2832059.284207
1696291200000,0.512,0.5475,0.5058,0.5399,1772232.830716
1696377600000,0.537,0.542,0.5192,0.5325,1815751.412951
1696464000000,0.531,0.531,0.5159,0.5238,893754.222109
1696550400000,0.5227,0.5291,0.5179,0.5262,736491.987426
1696636800000,0.525,0.525,0.52,0.5216,142985.890222
1696723200000,0.5224,0.5231,0.516,0.5174,393448.938052
1696809600000,0.517,0.5196,0.485,0.5031,1173532.097845
1696896000000,0.502,0.502,0.4919,0.4968,1254911.035367
1696982400000,0.4965,0.4974,0.4793,0.489,690000.21428
1697068800000,0.4882,0.4882,0.4734,0.483,710025.896326
1697155200000,0.4826,0.49,0.4788,0.4855,607458.294129
1697241600000,0.485,0.4882,0.4837,0.4862,121953.864924
1697328000000,0.4852,0.49,0.4852,0.487,237631.131829
1697414400000,0.4866,0.5105,0.485,0.4981,984678.2492
1697500800000,0.4973,0.4973,0.4845,0.491,716934.604939
1697587200000,0.4905,0.4922,0.486,0.4879,768717.269002
1697673600000,0.4877,0.5242,0.4774,0.5189,1160123.656449
1697760000000,0.5217,0.5305,0.5088,0.5148,1495199.264904
1697846400000,0.5146,0.5321,0.5113,0.52,764647.769219
