timestamp,interest
1594425600000,9173.893
1594512000000,9169.055
1594598400000,9163.75499999
1594684800000,8749.257
1594771200000,8778.033
1594857600000,10949.683
1594944000000,10519.815
1595030400000,10909.278
1595116800000,10758.132
1595203200000,10685.97799999
1595289600000,10664.834
1595376000000,10757.56
1595462400000,10732.446
1595548800000,10538.652
1595635200000,10360.647
1595721600000,10385.015
1595808000000,9411.985
1595894400000,8329.56699999
1595980800000,8701.741
1596067200000,8691.46899999
1596153600000,8526.539
1596240000000,8300.471
1596326400000,8287.625
1596412800000,9823.231
1596499200000,8422.02299999
1596585600000,8354.723
1596672000000,8354.19299999
1596758400000,9163.725
1596844800000,8502.311
1596931200000,8507.365
1597017600000,6766.757
1597104000000,6711.317
1597190400000,4780.955
1597276800000,4994.14099999
1597363200000,3821.525
1597449600000,3651.983
1597536000000,3663.123
1597622400000,3608.929
1597708800000,3612.803
1597795200000,3707.079
1597881600000,4202.483
1597968000000,4238.069
1598054400000,4062.855
1598140800000,3924.441
1598227200000,3950.013
1598313600000,3932.681
1598400000000,5526.127
1598486400000,5849.289
1598572800000,5678.801
1598659200000,5610.131
1598745600000,5619.741
1598832000000,5609.329
1598918400000,4407.493
1599004800000,4038.617
1599091200000,3782.899
1599177600000,5337.933
1599264000000,5095.799
1599350400000,5218.83299999
1599436800000,5151.281
1599523200000,5763.001
1599609600000,5655.359
1599696000000,5854.233
1599782400000,5683.797
1599868800000,5674.839
1599955200000,5613.521
1600041600000,5828.407
1600128000000,7386.879
1600214400000,4812.135
1600300800000,4533.051
1600387200000,4309.157
1600473600000,4292.857
1600560000000,4240.18099999
1600646400000,4215.325
1600732800000,4269.39099999
1600819200000,4151.52499999
1600905600000,4115.059
1600992000000,4117.223
1601078400000,4057.751
1601164800000,3917.337
1601251200000,3900.003
1601337600000,3992.721
1601424000000,3849.407
1601510400000,3762.707
1601596800000,3869.103
1601683200000,3904.513
1601769600000,3913.047
1601856000000,4062.457
1601942400000,4132.945
1602028800000,4032.843
1602115200000,4035.135
1602201600000,4044.483
1602288000000,4158.009
1602374400000,4409.475
1602460800000,4452.295
1602547200000,3953.027
1602633600000,4401.709
1602720000000,4341.723
1602806400000,4707.546
1602892800000,4582.223
1602979200000,4579.963
1603065600000,4577.433
1603152000000,4552.35099999
1603238400000,4710.563
1603324800000,4725.823
1603411200000,4825.73899999
1603497600000,5025.477
1603584000000,5034.771
1603670400000,5008.015
1603756800000,4955.215
1603843200000,5193.673
1603929600000,5108.46699999
1604016000000,5241.829
1604102400000,5120.943
1604188800000,5093.771
1604275200000,5093.685
1604361600000,5148.603
1604448000000,5267.241
1604534400000,5290.60099999
1604620800000,5323.821
1604707200000,5168.343
1604793600000,5009.063
1604880000000,4624.215
1604966400000,4523.779
1605052800000,4358.595
1605139200000,4339.48899999
1605225600000,5609.391
1605312000000,5571.573
1605398400000,5576.557
1605484800000,5657.595
1605571200000,5870.399
1605657600000,4714.997
1605744000000,4713.193
1605830400000,4925.777
1605916800000,4977.877
1606003200000,4967.787
1606089600000,4952.423
1606176000000,4684.129
1606262400000,5159.207
1606348800000,5084.96699999
1606435200000,5179.737
1606521600000,5081.517
1606608000000,5113.245
1606694400000,6031.947
1606780800000,5703.091
1606867200000,5421.759
1606953600000,5478.761
1607040000000,5717.517
1607126400000,6024.091
1607212800000,5530.211
1607299200000,5915.151
1607385600000,5864.939
1607472000000,5653.581
1607558400000,5915.065
1607644800000,6584.896
1607731200000,6710.938
1607817600000,6704.89
1607904000000,6752.16
1607990400000,6383.902
1608076800000,6327.236
1608163200000,6015.5
1608249600000,5991.392
1608336000000,5946.658
1608422400000,6025.596
1608508800000,5465.716
1608595200000,5470.014
1608681600000,5273.362
1608768000000,5564.996
1608854400000,5239.872
1608940800000,5095.07
1609027200000,4859.268
1609113600000,5394.74799999
1609200000000,5157.85
1609286400000,5075.312
1609372800000,5883.32
1609459200000,5860.372
1609545600000,5634.216
1609632000000,5948.64
1609718400000,6321.46
1609804800000,6755.772
1609891200000,6895.348
1609977600000,7240.142
1610064000000,7589.242
1610150400000,7648.904
1610236800000,7634.136
1610323200000,7668.506
1610409600000,8220.444
1610496000000,8575.694
1610582400000,8778.51399999
1610668800000,8807.072
1610755200000,8877.57
1610841600000,8558.986
1610928000000,7906.02
1611014400000,7623.762
1611100800000,7220.932
1611187200000,6717.806
1611273600000,6641.888
1611360000000,7256.006
1611446400000,7235.708
1611532800000,7359.304
1611619200000,7222.438
1611705600000,6124.816
1611792000000,6619.602
1611878400000,7316.724
1611964800000,7126.474
1612051200000,6337.662
1612137600000,5860.252
1612224000000,5860.878
1612310400000,5667.368
